track_name1,track_name2,sim
"Pjanoo - Radio Edit","Animals - Radio Edit",0.66
"Pjanoo - Radio Edit","Reload - Radio Edit",0.67
"Pjanoo - Radio Edit","Gecko (Overdrive) - Radio Edit",0.55
"Pjanoo - Radio Edit","Sweet Lovin' - Radio Edit",0.53
"Shake It","Shake It Out",0.72
"Shake It","Shake It Off",0.68
"Fall for You","Fallin' For You",0.55
"Sexy Can I","Like I Can",0.55
Say,"Never Say Never",0.62
Say,"Whatcha Say",0.53
Say,"Say It",0.53
"My Life","Story of My Life",0.52
"Got Money",Money,0.55
"Got Money",MONEY,0.55
"Love Story","Love Story (Taylor�s Version)",0.54
Down,"Shut Down",0.55
Monster,"Beautiful Monster",0.59
Monster,"The Monster",0.6
"Best I Ever Had","Best Thing I Never Had",0.52
Forever,"Young Forever",0.56
"One Time","One Last Time",0.72
"Please Don't Leave Me","Please Me",0.58
"What You Know","What You Know Bout Love",0.57
"What You Know","What You Know Bout Love",0.57
"Just A Dream","Just A Kiss",0.52
"Billionaire (feat. Bruno Mars)","Uptown Funk (feat. Bruno Mars)",0.51
"Break Your Heart","Give Your Heart a Break",0.57
"I Need A Dollar","I Need A Doctor",0.65
"I Like It","You Know You Like It",0.51
"If I Die Young","Die Young",0.59
"Forget You","Never Forget You",0.7
"Gold Dust - Radio Edit","One - Radio Edit",0.54
"Gold Dust - Radio Edit","Bromance - Avicii's Radio Edit",0.51
"Gold Dust - Radio Edit","Levels - Radio Edit",0.54
"Gold Dust - Radio Edit","Animals - Radio Edit",0.55
"Gold Dust - Radio Edit","Reload - Radio Edit",0.53
"In My Head","In My Blood",0.53
"Dancing On My Own - Radio Edit","Dancing On My Own",0.55
"One - Radio Edit","Bromance - Avicii's Radio Edit",0.57
"One - Radio Edit","Levels - Radio Edit",0.62
"One - Radio Edit","Animals - Radio Edit",0.62
"One - Radio Edit","Reload - Radio Edit",0.61
"One - Radio Edit","Gecko (Overdrive) - Radio Edit",0.54
"Bromance - Avicii's Radio Edit","Levels - Radio Edit",0.55
"Bromance - Avicii's Radio Edit","Animals - Radio Edit",0.58
"Bromance - Avicii's Radio Edit","Reload - Radio Edit",0.57
"Bromance - Avicii's Radio Edit","Gecko (Overdrive) - Radio Edit",0.52
Higher,"Higher Love",0.53
"Down On Me","Drag Me Down",0.52
"Down On Me","Lay Me Down",0.56
"Sweat - Remix","Jealous - Remix",0.57
"Sweat - Remix","Calma - Remix",0.52
"Mr. Saxobeat - Radio Edit","Animals - Radio Edit",0.52
"I Won't Let You Go","Say You Won't Let Go",0.65
"Without You (feat. Usher)","Without You (feat. Sandro Cavazza)",0.54
"F**kin' Perfect",Perfect,0.53
"F**kin' Perfect",Perfect,0.53
"Shake It Out","Shake It Off",0.53
"Roll Up",Up,0.62
"Levels - Radio Edit","Million Voices - Radio Edit",0.53
"Levels - Radio Edit","Animals - Radio Edit",0.63
"Levels - Radio Edit","Reload - Radio Edit",0.64
"Levels - Radio Edit","Gecko (Overdrive) - Radio Edit",0.55
Lost,"Lost Boy",0.54
"Part Of Me","All of Me",0.54
"Titanium (feat. Sia)","ON (Feat. Sia)",0.54
"Million Voices - Radio Edit","Animals - Radio Edit",0.54
"Million Voices - Radio Edit","Reload - Radio Edit",0.51
"As Long As You Love Me","Let Me Love You",0.51
"Love Me","Love Me Again",0.7
"Love Me","Love Me Harder",0.64
"Love Me","Let Me Love You",0.55
"Love Me","I Love Me",0.7
"Still into You","Into You",0.78
"Let Her Go","LET GO",0.73
"Animals - Radio Edit","Reload - Radio Edit",0.65
"Animals - Radio Edit","Gecko (Overdrive) - Radio Edit",0.55
"Animals - Radio Edit","Sweet Lovin' - Radio Edit",0.52
"Love Me Again","I Love Me",0.56
"Love Me Again","LOVE AGAIN",0.61
"Reload - Radio Edit","Gecko (Overdrive) - Radio Edit",0.54
"Body Party",Body,0.54
"Body Party",Body,0.54
"Bad (feat. Rihanna) - Remix","Djadja (feat. Maluma) - Remix",0.51
"Holy Grail",H.O.L.Y.,0.52
"Of The Night","In The Night",0.53
"Of The Night","MIDDLE OF THE NIGHT",0.7
"La La La","La Bachata",0.55
"La La La","La Jumpa",0.59
Summer,"Cruel Summer",0.52
"Stay With Me","Here With Me",0.51
"Stay With Me","Here With Me",0.51
Sugar,"Watermelon Sugar",0.53
"Love Me Harder","I Love Me",0.55
"Waves - Robin Schulz Radio Edit","Prayer in C - Robin Schulz Radio Edit",0.55
Don't,"Don't Mind",0.55
Magic,"Black Magic",0.53
"Man Of The Year","The Man",0.51
"You Know You Like It","I Like It",0.51
"Up (feat. Demi Lovato)","Solo (feat. Demi Lovato)",0.58
"Jealous - Remix","Calma - Remix",0.55
"Talking Body",Body,0.56
"Talking Body",Body,0.56
Somebody,"Somebody Else",0.51
"Money On My Mind","On My Mind",0.73
"I Will Never Let You Down","Let You Down",0.53
Don't,"Don't Mind",0.55
"Drag Me Down","Lay Me Down",0.52
Perfect,"Perfect Strangers",0.53
"Stole the Show","The Greatest Show",0.55
"No Type",NO,0.61
"Honey, I'm Good.","I'm Good (Blue)",0.52
"Let It Go","LET GO",0.66
"On My Mind","On My Mama",0.51
"Don't Let Me Down","Let Me Down Slowly",0.6
"Work from Home (feat. Ty Dolla $ign)","Psycho (feat. Ty Dolla $ign)",0.54
Middle,"The Middle",0.59
Middle,"MIDDLE CHILD",0.51
NO,"No Money",0.52
"Perfect Strangers",Perfect,0.53
"Dangerous Woman",Woman,0.52
"Cold Water",Water,0.55
"Havana (feat. Young Thug)","Goodbyes (feat. Young Thug)",0.58
"Havana (feat. Young Thug)","pushin P (feat. Young Thug)",0.52
"That's What I Like","THATS WHAT I WANT",0.57
Human,"Only Human",0.56
"rockstar (feat. 21 Savage)","Jimmy Cooks (feat. 21 Savage)",0.53
"Better Now",Better,0.55
"In My Mind","In My Blood",0.51
"The Middle","MIDDLE OF THE NIGHT",0.55
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",0.76
"River (feat. Ed Sheeran)","Bam Bam (feat. Ed Sheeran)",0.56
"Leave a Light On","Light On",0.55
"Boo'd Up",Up,0.55
"Goodbyes (feat. Young Thug)","pushin P (feat. Young Thug)",0.52
"Old Town Road - Remix","Old Town Road",0.51
"10,000 Hours (with Justin Bieber)","STAY (with Justin Bieber)",0.51
"10,000 Hours (with Justin Bieber)","STAY (with Justin Bieber)",0.51
Falling,"Falling Back",0.56
"Stuck with U (with Justin Bieber)","STAY (with Justin Bieber)",0.53
"Stuck with U (with Justin Bieber)","STAY (with Justin Bieber)",0.53
"Save Your Tears (with Ariana Grande) (Remix)","Save Your Tears (Remix) (with Ariana Grande) - Bonus Track",0.73
"late at night","Late Night Talking",0.63
